open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
250.135,253.81,249.79,253.48,51055731.0,253.83,249.78,253.48,250.08,51356360.0,1.0,0.0,AAPL,XNAS,2024-12-17T00:00:00+0000
247.99,251.38,247.65,251.04,51665600.0,251.38,247.65,251.04,247.99,51694753.0,1.0,0.0,AAPL,XNAS,2024-12-16T00:00:00+0000
192.87,199.0,192.62,196.66,44934901.0,199.0,192.62,196.66,192.87,44934901.0,1.0,0.0,GOOGL,XNAS,2024-12-16T00:00:00+0000
447.27,452.18,445.28,451.59,23586700.0,452.18,445.28,451.59,447.27,23598834.0,1.0,0.0,MSFT,XNAS,2024-12-16T00:00:00+0000
194.365,200.64,194.11,198.16,32248640.0,200.64,194.11,198.16,194.365,32248640.0,1.0,0.0,GOOG,XNAS,2024-12-16T00:00:00+0000
230.23,233.0,228.01,232.93,37552096.0,233.0,228.01,232.93,230.23,37552096.0,1.0,0.0,AMZN,XNAS,2024-12-16T00:00:00+0000
228.4,230.2,225.8608,227.46,28768080.0,230.2,225.8608,227.46,228.4,28768080.0,1.0,0.0,AMZN,XNAS,2024-12-13T00:00:00+0000
247.82,249.29,246.24,248.13,33132000.0,249.2902,246.24,248.13,247.815,33155290.0,1.0,0.0,AAPL,XNAS,2024-12-13T00:00:00+0000
192.71,194.34,191.26,191.38,18883217.0,194.34,191.26,191.38,192.71,18883217.0,1.0,0.0,GOOG,XNAS,2024-12-13T00:00:00+0000
191.01,192.73,189.64,189.82,25143495.0,192.73,189.64,189.82,191.01,25143495.0,1.0,0.0,GOOGL,XNAS,2024-12-13T00:00:00+0000
448.44,451.43,445.58,447.27,20172200.0,451.43,445.58,447.27,448.435,20177833.0,1.0,0.0,MSFT,XNAS,2024-12-13T00:00:00+0000
449.555,456.1648,449.13,449.56,20719891.0,456.1648,449.11,449.56,449.11,20834779.0,1.0,0.0,MSFT,XNAS,2024-12-12T00:00:00+0000
229.83,231.09,227.63,228.97,28204084.0,231.09,227.63,228.97,229.83,28204084.0,1.0,0.0,AMZN,XNAS,2024-12-12T00:00:00+0000
195.0,195.18,191.71,191.96,34817486.0,195.18,191.71,191.96,195.0,34817486.0,1.0,0.0,GOOGL,XNAS,2024-12-12T00:00:00+0000
246.945,248.74,245.68,247.96,29983256.0,248.74,245.68,247.96,246.89,32777532.0,1.0,0.0,AAPL,XNAS,2024-12-12T00:00:00+0000
196.3,196.7053,193.28,193.63,25197760.0,196.7053,193.28,193.63,196.3,25197757.0,1.0,0.0,GOOG,XNAS,2024-12-12T00:00:00+0000
186.7,196.89,186.26,196.71,41664488.0,196.89,186.26,196.71,186.7,41664489.0,1.0,0.0,GOOG,XNAS,2024-12-11T00:00:00+0000
444.05,450.35,444.05,448.99,17183159.0,450.35,444.05,448.99,444.05,19200208.0,1.0,0.0,MSFT,XNAS,2024-12-11T00:00:00+0000
247.945,250.8,246.2601,246.49,42854558.0,250.8,246.2601,246.49,247.96,45205814.0,1.0,0.0,AAPL,XNAS,2024-12-11T00:00:00+0000
226.41,231.2,226.26,230.26,35385785.0,231.2,226.26,230.26,226.41,35385785.0,1.0,0.0,AMZN,XNAS,2024-12-11T00:00:00+0000
185.31,195.61,184.85,195.4,67894071.0,195.61,184.85,195.4,185.31,67894071.0,1.0,0.0,GOOGL,XNAS,2024-12-11T00:00:00+0000
182.845,186.36,181.05,185.17,54813022.0,186.36,181.05,185.17,182.845,54813022.0,1.0,0.0,GOOGL,XNAS,2024-12-10T00:00:00+0000
184.535,188.03,182.67,186.53,34317441.0,188.03,182.67,186.53,184.535,34317438.0,1.0,0.0,GOOG,XNAS,2024-12-10T00:00:00+0000
226.09,229.06,224.2002,225.04,31199864.0,229.06,224.2002,225.04,226.09,31199864.0,1.0,0.0,AMZN,XNAS,2024-12-10T00:00:00+0000
444.39,449.62,441.6,443.33,18453100.0,449.62,441.6,443.33,444.39,18469459.0,1.0,0.0,MSFT,XNAS,2024-12-10T00:00:00+0000
246.89,248.21,245.34,247.77,36873800.0,248.21,245.34,247.77,246.89,36914806.0,1.0,0.0,AAPL,XNAS,2024-12-10T00:00:00+0000
241.83,247.24,241.76,246.75,43606216.0,247.24,241.75,246.75,241.83,44649232.0,1.0,0.0,AAPL,XNAS,2024-12-09T00:00:00+0000
173.96,176.26,173.65,175.37,25389631.0,176.26,173.65,175.37,173.96,25389631.0,1.0,0.2,GOOGL,XNAS,2024-12-09T00:00:00+0000
442.6,448.33,440.5,446.02,19126800.0,448.33,440.5,446.02,442.6,19144388.0,1.0,0.0,MSFT,XNAS,2024-12-09T00:00:00+0000
175.715,178.04,175.4,177.1,19887789.0,178.04,175.4,177.1,175.715,19887786.0,1.0,0.2,GOOG,XNAS,2024-12-09T00:00:00+0000
227.21,230.08,225.67,226.09,46819363.0,230.08,225.67,226.09,227.21,46819363.0,1.0,0.0,AMZN,XNAS,2024-12-09T00:00:00+0000
220.75,227.15,220.6,227.03,44178069.0,227.15,220.6,227.03,220.75,44178069.0,1.0,0.0,AMZN,XNAS,2024-12-06T00:00:00+0000
242.91,244.63,242.08,242.84,36852100.0,244.63,242.08,242.84,242.905,36870619.0,1.0,0.0,AAPL,XNAS,2024-12-06T00:00:00+0000
173.88,176.8389,173.55,176.49,13319549.0,176.8389,173.55,176.29,173.88,13319549.0,1.0,0.0,GOOG,XNAS,2024-12-06T00:00:00+0000
172.03,175.08,171.86,174.51,21462393.0,175.08,171.86,174.31,172.03,21462393.0,1.0,0.0,GOOGL,XNAS,2024-12-06T00:00:00+0000
442.3,446.1,441.77,443.57,18814400.0,446.1,441.7703,443.57,442.3,18821002.0,1.0,0.0,MSFT,XNAS,2024-12-06T00:00:00+0000
437.92,444.66,436.17,442.62,21667200.0,444.66,436.171,442.62,437.92,21697775.0,1.0,0.0,MSFT,XNAS,2024-12-05T00:00:00+0000
218.03,222.15,217.3,220.55,41140220.0,222.15,217.3,220.55,218.03,41140220.0,1.0,0.0,AMZN,XNAS,2024-12-05T00:00:00+0000
175.36,176.06,172.33,172.64,21356243.0,176.06,172.33,172.64,175.36,21356243.0,1.0,0.0,GOOGL,XNAS,2024-12-05T00:00:00+0000
243.99,244.54,242.13,243.04,39961900.0,244.54,242.13,243.04,243.99,40033878.0,1.0,0.0,AAPL,XNAS,2024-12-05T00:00:00+0000
177.32,177.71,174.01,174.31,16145520.0,177.71,174.01,174.31,177.32,16145520.0,1.0,0.0,GOOG,XNAS,2024-12-05T00:00:00+0000
172.78,176.43,172.75,176.09,18239842.0,176.43,172.75,176.09,172.78,18239842.0,1.0,0.0,GOOG,XNAS,2024-12-04T00:00:00+0000
433.03,439.67,432.63,437.42,25983200.0,439.67,432.63,437.42,433.03,26009429.0,1.0,0.0,MSFT,XNAS,2024-12-04T00:00:00+0000
242.88,244.105,241.25,243.01,41848779.0,244.11,241.25,243.01,242.87,44383935.0,1.0,0.0,AAPL,XNAS,2024-12-04T00:00:00+0000
215.96,220.0,215.75,218.16,48745716.0,220.0,215.75,218.16,215.96,48745716.0,1.0,0.0,AMZN,XNAS,2024-12-04T00:00:00+0000
171.145,174.91,171.06,174.37,31615137.0,174.91,171.06,174.37,171.145,31615137.0,1.0,0.0,GOOGL,XNAS,2024-12-04T00:00:00+0000
171.49,172.68,170.85,171.34,22248705.0,172.68,170.85,171.34,171.49,22248705.0,1.0,0.0,GOOGL,XNAS,2024-12-03T00:00:00+0000
173.1981,174.32,172.51,173.02,15721483.0,174.32,172.51,173.02,173.12,15721483.0,1.0,0.0,GOOG,XNAS,2024-12-03T00:00:00+0000
210.31,214.02,209.65,213.44,32214828.0,214.02,209.65,213.44,210.31,32214828.0,1.0,0.0,AMZN,XNAS,2024-12-03T00:00:00+0000
429.84,432.47,427.74,431.2,18281400.0,432.47,427.74,431.2,429.84,18301987.0,1.0,0.0,MSFT,XNAS,2024-12-03T00:00:00+0000
239.92,242.755,238.9003,242.65,37736685.0,242.76,238.9,242.65,239.81,38861017.0,1.0,0.0,AAPL,XNAS,2024-12-03T00:00:00+0000
237.27,240.79,237.16,239.59,42439900.0,240.79,237.16,239.59,237.27,48137103.0,1.0,0.0,AAPL,XNAS,2024-12-02T00:00:00+0000
168.765,172.075,168.57,171.49,23789084.0,172.075,168.57,171.49,168.765,23789084.0,1.0,0.0,GOOGL,XNAS,2024-12-02T00:00:00+0000
421.57,433.0,421.31,430.98,20189300.0,433.0,421.31,430.98,421.57,20207223.0,1.0,0.0,MSFT,XNAS,2024-12-02T00:00:00+0000
170.32,173.6,170.27,172.98,16593444.0,173.6,170.27,172.98,170.32,16593444.0,1.0,0.0,GOOG,XNAS,2024-12-02T00:00:00+0000
209.96,212.99,209.5101,210.71,39523185.0,212.99,209.5101,210.71,209.96,39523185.0,1.0,0.0,AMZN,XNAS,2024-12-02T00:00:00+0000
205.83,208.2,204.59,207.89,24892447.0,208.2,204.59,207.89,205.83,24892447.0,1.0,0.0,AMZN,XNAS,2024-11-29T00:00:00+0000
234.81,237.81,233.97,237.33,28481400.0,237.81,233.97,237.33,234.81,28481377.0,1.0,0.0,AAPL,XNAS,2024-11-29T00:00:00+0000
170.06,170.87,168.75,170.49,9250712.0,170.87,168.75,170.49,170.06,9250712.0,1.0,0.0,GOOG,XNAS,2024-11-29T00:00:00+0000
168.5,169.43,167.16,168.95,14257244.0,169.43,167.16,168.95,168.5,14257244.0,1.0,0.0,GOOGL,XNAS,2024-11-29T00:00:00+0000
420.09,424.88,417.8,423.46,16271900.0,424.88,417.8,423.46,420.09,16271921.0,1.0,0.0,MSFT,XNAS,2024-11-29T00:00:00+0000
425.105,427.2299,422.02,422.99,18332444.0,427.2299,422.02,422.99,425.105,18332444.0,1.0,0.0,MSFT,XNAS,2024-11-27T00:00:00+0000
206.98,207.64,205.05,205.74,28061638.0,207.64,205.05,205.74,206.98,28061638.0,1.0,0.0,AMZN,XNAS,2024-11-27T00:00:00+0000
169.0,169.4832,168.02,169.23,19266511.0,169.4832,168.02,169.23,169.0,19266511.0,1.0,0.0,GOOGL,XNAS,2024-11-27T00:00:00+0000
234.465,235.69,233.8101,234.93,33498439.0,235.69,233.8101,234.93,234.465,33498439.0,1.0,0.0,AAPL,XNAS,2024-11-27T00:00:00+0000
170.68,171.14,169.67,170.82,12433371.0,171.14,169.67,170.82,170.68,12433371.0,1.0,0.0,GOOG,XNAS,2024-11-27T00:00:00+0000
169.49,171.495,169.43,170.62,14937478.0,171.495,169.43,170.62,169.49,14937478.0,1.0,0.0,GOOG,XNAS,2024-11-26T00:00:00+0000
419.59,429.04,418.85,427.99,23439600.0,429.0414,418.85,427.99,419.585,23458889.0,1.0,0.0,MSFT,XNAS,2024-11-26T00:00:00+0000
233.475,235.57,233.475,235.06,44991117.0,235.57,233.33,235.06,233.33,45986189.0,1.0,0.0,AAPL,XNAS,2024-11-26T00:00:00+0000
201.9,208.0,201.79,207.86,41673737.0,208.0,201.79,207.86,201.9,41673737.0,1.0,0.0,AMZN,XNAS,2024-11-26T00:00:00+0000
167.63,169.82,167.58,169.12,20486720.0,169.82,167.58,169.12,167.63,20486720.0,1.0,0.0,GOOGL,XNAS,2024-11-26T00:00:00+0000
166.09,168.63,165.6072,167.65,33135263.0,168.63,165.6072,167.65,166.09,33135263.0,1.0,0.0,GOOGL,XNAS,2024-11-25T00:00:00+0000
167.99,170.46,167.4,169.43,21395652.0,170.46,167.4,169.43,167.99,21395652.0,1.0,0.0,GOOG,XNAS,2024-11-25T00:00:00+0000
199.28,201.9499,199.0,201.45,40685672.0,201.9499,199.0,201.45,199.28,40685672.0,1.0,0.0,AMZN,XNAS,2024-11-25T00:00:00+0000
418.38,421.08,414.85,418.79,27651300.0,421.08,414.85,418.79,418.38,27691090.0,1.0,0.0,MSFT,XNAS,2024-11-25T00:00:00+0000
231.46,233.25,229.74,232.87,89984500.0,233.245,229.74,232.87,231.46,90152832.0,1.0,0.0,AAPL,XNAS,2024-11-25T00:00:00+0000
